Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_initial";"ubsi.yalk.initial.54";"ЯЛК адрес 54: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=54; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.54";"ЯЛК адрес 54: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.55";"ЯЛК адрес 55: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=55; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.55";"ЯЛК адрес 55: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.56";"ЯЛК адрес 56: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=56; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.56";"ЯЛК адрес 56: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.57";"ЯЛК адрес 57: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=57; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.57";"ЯЛК адрес 57: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.58";"ЯЛК адрес 58: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=58; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.58";"ЯЛК адрес 58: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.59";"ЯЛК адрес 59: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=59; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.59";"ЯЛК адрес 59: исходный сигнал";1;"лог.";1;1;"OK";""
